Show Number, Air Date, Round, Category, Value, Question, Answer,contestant_names,contestant_locations
4667,2004-12-14,Final Jeopardy!,AWARD-WINNING AUTHORS,None,"The only Oscar winner also to win a Nobel Prize, this European won a 1938 Oscar for adapting his own play",George Bernard Shaw,"Jerry Mayer, Joel Kahn, Robert Bowsher","Virginia, California, Ohio"
732,1987-11-10,Final Jeopardy!,THE BIBLE,None,"The first verse of this book says, ""There was a man in the land of Uz that feared God and eschewed evil""",Job,"Michael Galvin, Frank Hughes, Richard Cordray","Ohio, California, Ohio"
5476,2008-06-02,Final Jeopardy!,THE BILLBOARD HOT 100,None,"A song by this artist hit No. 1 in 1999, making her at age 52 the oldest female to have a Billboard No. 1 single",Cher,"Chris Vestuto, Ann Middleman, Susan Keller","California, New York, Pennsylvania"
5171,2007-02-19,Final Jeopardy!,ORGANIZATIONS,None,"The C.A.P., or Common Agricultural Policy, accounts for almost half the budget of this 25-nation organization",the European Union,"Amanda Froning, Rob Faunce, Wayne Cherry","Delaware, New York, Texas"
3191,1998-06-15,Final Jeopardy!,MACBETH,None,"Macbeth says to this character, ""Thy bones are marrowless, thy blood is cold""",Banquo's ghost,"Lew Taylor, Ben Douglas, Natalie Segal","Virginia, California, Connecticut"
2515,1995-07-07,Final Jeopardy!,NOTORIOUS,None,"Oscar Collazo, serving a life sentence for his assassination attempt on this president, was released in 1979",Harry Truman,"Robert Press, Beverly Adams, Isaac Segal","California, California, New Jersey"
4183,2002-11-06,Final Jeopardy!,AUTHORS,None,"In September 1941 this author christened the warship Atlanta, also known as ""The Mighty A""",Margaret Mitchell,"Katie Francisco, Brad Bean, Sandra Alboum","Georgia, Ohio, Virginia"
3255,1998-10-30,Final Jeopardy!,HALLOWEEN ON FILM,None,"(<a href=""http://www.j-archive.com/media/1998-10-30_FJ.jpg"" target=""_blank"">Happy Halloween, I'm Janet Leigh.</a>)  In a 1953 film my then husband played this man, who died on Halloween in 1926; I played his wife Bess",Harry Houdini,"Katie Clark, Michael Plank, Juliet Wiley","North Carolina, Pennsylvania, Texas"
5094,2006-11-02,Final Jeopardy!,FICTIONAL CHARACTERS,None,"He first appeared in Kipling's 1892 story ""In the Rukh"" as an adult who now & then refers to his very odd childhood",Mowgli,"Dave Meddish, Caroline Waddell Zarzar, Jim Spilman","Idaho, North Carolina, Massachusetts"
4644,2004-11-11,Final Jeopardy!,BRITISH NOVEL CHARACTERS,None,"W.E. Henley, the amputee who wrote the brave poem ""Invictus"", inspired this character in an 1883 book",Long John Silver,"Vicky Manos, Jeff Love, Amanda Nowotny","New York, California, Pennsylvania"
6072,2011-01-25,Final Jeopardy!,THE OLD TESTAMENT,None,"In the Book of Job, this name means ""accuser"", & that was his role in God's court",Satan,"Gitta Neufeld, Abie Hadjitarkhani, Amanda Sonmor","New York, California, Colorado"
4808,2005-06-29,Final Jeopardy!,MUSICAL THEATER,None,"In Act II of this musical, an election victory is announced ""on the balcony of the Casa Rosada""",Evita,"Deanna Easter, Tony Jonick, Ben Kesling","North Carolina, California, Kentucky"
5467,2008-05-20,Final Jeopardy!,CHILDREN'S AUTHORS,None,"In 1896 he said his mother had lost her childhood at 8; he ""knew a time would come when I also must give up the games""",J.M. Barrie,"Larissa Kelly, Ameet Shukla, Mary Kay Schmidt","California, Arizona, Wisconsin"
5146,2007-01-15,Final Jeopardy!,AMERICAN LITERATURE,None,"An epigraph he used on one story says, ""our hearts though stout and brave, still, like muffled drums are beating""",Edgar Allan Poe,"JC Honeycutt, Brian Armbrust, Kelly Isenor","North Carolina, California, Massachusetts"
4146,2002-09-16,Final Jeopardy!,ON THE CALENDAR,None,"In 1974, to save energy, it began in January instead of April & ended on October 27",Daylight saving time,"Zane Li, Billy Hackenson, Elena Botella","Utah, Virginia, North Carolina"
3501,1999-11-22,Final Jeopardy!,FAMOUS WEDDINGS,None,"In 1998 a 61-year-old piece of this couple's wedding cake sold for $26,000 at Sotheby's",The Duke of Windsor (former King Edward VIII) & Wallis Simpson,"Dan McNamee, Robert Guzzo, Janet Leach","California, California, New Hampshire"
1274,1990-03-01,Final Jeopardy!,WORLD HISTORY,None,City that was the seat of government of the viceroyalty of New Spain,Mexico City,"Kathy Rice, Jerry Fried, Deborah Hummel","California, New Jersey, Pennsylvania"
3547,2000-01-25,Final Jeopardy!,THE TONY AWARDS,None,"(Hi, I'm Brian Dennehy)  This man won a Tony for writing the Best Play of 1949 and I had the honor of presenting him with a Lifetime Achievement Tony in 1999","Arthur Miller (wrote \""Death of a Salesman\"")","Glenn Sloat, Lee Lassiter, Lynn Walters","New York, Kansas, Missouri"
4227,2003-01-07,Final Jeopardy!,ANIMALS,None,"What the Germans call a Bambusbar, we generally call this",a panda bear,"William Tarpeh, Jessie Robertson, Chris Palmquist","Virginia, Texas, Iowa"
2679,1996-04-04,Final Jeopardy!,FAMOUS TEACHERS,None,"In 1967 this former teacher published a memoir entitled ""Center of the Storm""",John Scopes (famous Scopes Trial),"John Fitzgibbon, Vince Mohan, David Sampugnaro","Illinois, New Jersey, New York"
4724,2005-03-03,Final Jeopardy!,20th CENTURY AMERICANS,None,He was alive for the Wright Brothers' historic flight & was John Glenn's Senate colleague when Glenn returned to space,Strom Thurmond,"Paul Boymel, Andrew Garen, Ed Schiffer","Maryland, Texas, California"
3898,2001-07-11,Final Jeopardy!,CONTEMPORARY BRITISH AUTHORS,None,"In May 1973 Sports Illustrated ran one of his short stories under the title ""A Day of Wine and Roses""",Dick Francis,"Downey Meyer, Melissa Abrahams, Michael Hall","New Hampshire, California, Pennsylvania"
1291,1990-03-26,Final Jeopardy!,COUNTRIES OF THE WORLD,None,The world's most populous democracy,India,"Paul Lenzi, Glenda Wells, Andrew Bernknopf","Pennsylvania, Illinois, Pennsylvania"
4946,2006-02-27,Final Jeopardy!,AMERICAN WOMEN,None,"She gave herself the third-person name ""Phantom"", the ""no-person"" she was from 19 months until she was almost 7",Helen Keller,"Tim Logue, Jessica Epstein, Bonnie Clair","California, Washington, Missouri"
4787,2005-05-31,Final Jeopardy!,BEATLES MUSIC,None,Chauffeur Alf Bicknell was the inspiration for this 1965 song,"\""Drive My Car\""","David Rozenson, Neill Kovrig, Lisa Voss","Massachusetts, California, Nebraska"
6135,2011-04-22,Final Jeopardy!,BIOGRAPHERS,None,"As many mourned, this minister wrote in a letter, ""Washington is gone!  Millions are gasping to read ...about him""",Parson Weems,"Nick Cohen, KC Frodyma, Brian Meacham","New York, California, Alaska"
5443,2008-04-16,Final Jeopardy!,CONSUMER PRODUCTS,None,This product was reintroduced in 1906 with trimethylxanthine as the sole remaining stimulant,Coca-Cola,"Jay Sprout, Ann Mulkern, Chris Zane","Vermont, Louisiana, Maryland"
62,1984-12-04,Final Jeopardy!,U.S. PRESIDENTS,None,"President elected to 2nd term with 523 electoral votes, the greatest number in any election",Franklin D. Roosevelt,"Richard Landon, Mary Mason, Daniel Elias","California, California, an advertising copywriter from New York City"
6231,2011-10-24,Final Jeopardy!,U.S. CITIES,None,"Of the top 10 cities in population within city limits, this one of 1.4 million is the only state capital","Phoenix, Arizona","Laura Bulkin, Francisco Maldonado-Ramirez, Balaji Narain","New Mexico, New Jersey, Georgia"
3682,2000-09-12,Final Jeopardy!,NOTORIOUS,None,"Using the aliases James Ryan & Harry Place, they boarded a steamer for Argentina in February 1901",Butch Cassidy & The Sundance Kid,"Steven King, Lisa Manley, Mark Staloff","Arizona, Texas, Massachusetts"
3102,1998-02-10,Final Jeopardy!,ENGLISH LITERATURE,None,"The 5th edition of this work, published in 1676, included a section on fly fishing by Charles Cotton",The Compleat Angler (by Izaak Walton),"Bob Harris, Peter Scott, Lyn Payne","Ohio, Washington D.C., Florida"
5397,2008-02-12,Final Jeopardy!,CHARACTERS IN BOOKS,None,"This character says, ""It's Christmas Day!  I haven't missed it.  The Spirits have done it all in one night""",Ebenezer Scrooge,"Melissa Luttmann, Janelle Lambert, Rachel Horn","Tennessee, New York, Ohio"
6293,2012-01-18,Final Jeopardy!,FATHERS & SONS,None,The island where this man's son washed ashore was later named Ikaria,Daedalus,"Zach May, Debra McGuire, Amy Stephenson","Kentucky, Texas, New York"
5624,2009-02-05,Final Jeopardy!,AMERICAN FICTION WRITERS,None,"He was also the U.S.'s best-paid sportswriter, with stories of people like Chicago O'Brien & Jack the Bookie",Damon Runyon,"Nick Leggatt, Herbie Tinsley, Gail Flemmons","Texas, Ohio, Mississippi"
3393,1999-05-12,Final Jeopardy!,RENAISSANCE LITERATURE,None,"This book begins, ""All states and dominions which hold or have held mankind are either republics or monarchies""","\""The Prince\"" (by Machiavelli)","Cameron Blakemore, Katie King, Veronica Lee","Oklahoma, West Virginia, Oregon"
3409,1999-06-03,Final Jeopardy!,WORLD EVENTS,None,"The 3 people who did this most recently were Midori Ito, Muhammad Ali & Crown Prince Haakon of Norway",Lighting the Olympic flame at the Olympic Games,"Preston Spickler, Marina Rimer, Dave Martin","West Virginia, California, Oregon"
4160,2002-10-04,Final Jeopardy!,U.S. PRESIDENTS,None,"A Civil War general, he was the last man to go directly from the House of Representatives to the presidency",James A. Garfield,"Cathy Royal, Rikardo Ayala, Mark Brown","Tennessee, California, Arizona"
3907,2001-09-04,Final Jeopardy!,NATIONAL ANTHEMS,None,"""Land Of Two Rivers"" is the anthem of this country whose history goes back thousands of years",Iraq,"Bernard Pena, Carrie Pfeiffer, Anne Reynolds","Louisiana, Tennessee, Ontario"
5153,2007-01-24,Final Jeopardy!,FOREIGN CURRENCY,None,This currency of Costa Rica gets its name from the first European to see the nation,the Colon,"Emily Seftel, Su Kim, Freddy Bee","Arizona, Illinois, California"
3820,2001-03-23,Final Jeopardy!,TRANSPORTATION INNOVATIONS,None,This type of program that began in 1981 was inspired by Green Stamps,Frequent flyer program,"Jack Breschard, Armando Martinez, Matthew Wiehr","California, California, Oregon"
6193,2011-07-13,Final Jeopardy!,NAME THE POET,None,"""The spirit who bideth by himself / in the land of mist and snow / he loved the bird that loved the man / who shot him with his bow""",(Samuel Taylor) Coleridge,"Paul Barbour, Sarah Powell, Damian Yu","New York, Maryland, Canada"
2893,1997-03-12,Final Jeopardy!,THE NOBEL PRIZE,None,The 1996 Chemistry Prize went to the discoverers of a 60-carbon atom molecule called this,Buckyball,"Eileen Davenport, Brian Hamill, Mike Davison","Illinois, Massachusetts, California"
3108,1998-02-18,Final Jeopardy!,AUTHORS,None,"He claimed that as a Pinkerton detective, he had worked the Fatty Arbuckle & Nicky Arnstein cases",Dashiell Hammett,"Michelle Power, Jesse Moises, J.J. Todor","Oregon, California, Ohio"
4987,2006-04-25,Final Jeopardy!,MOVIE DIRECTORS,None,He's the only person to direct his daughter & his father in Oscar-winning performances,John Huston,"Gigi Gilman, Theo Caldwell, Doug Dorst","Washington, Canada, Texas"
5701,2009-05-25,Final Jeopardy!,THE ELEMENTS,None,"Once called radium F, this element was named for the homeland of one of its discoverers",polonium,"Charles Swanson, Katy Karlin, Justin Bernbach","Wisconsin, California, New York"
5530,2008-09-26,Final Jeopardy!,ROYALTY,None,"Since 1066, the only British monarch to have 3 children ascend to the British throne",Henry VIII,"Tami Deeb, Andrew Hoekzema, Brian Levinson","California, Missouri, New York"
4738,2005-03-23,Final Jeopardy!,MAJOR LEAGUE BASEBALL,None,The team names of these 2 expansion clubs start with the same 3 letters; one might catch the other,the Seattle Mariners & the Florida Marlins,"Phoebe Juel, Steve Berman, Brad Plovan","North Carolina, California, Maryland"
6088,2011-02-16,Final Jeopardy!,19th CENTURY NOVELISTS,None,"William Wilkinson's ""An Account of the Principalities of Wallachia and Moldavia"" inspired this author's most famous novel",Bram Stoker,"Brad Rutter, Watson, Ken Jennings","California, a deep question answering system from IBM, Washington"
4550,2004-05-21,Final Jeopardy!,EXPLORATION,None,"He wrote in his diary, ""The loss of pony transport in March 1911 obliged me to start later than I had intended""",Robert Falcon Scott,"Juan Carlos Batlle, Jeremy Schanck, Paul Nethercut","Pennsylvania, Washington D.C., California"
3130,1998-03-20,Final Jeopardy!,FINANCE HISTORY,None,"In the 19th c., selling stock you didn't yet own, hoping it would fall, was called selling this animal's skin",a bear,"Carol Tierney, Boze Hadleigh, Jeff Chrzanowski","Massachusetts, California, New Jersey"
3543,2000-01-19,Final Jeopardy!,THE BOOK TRADE,None,"According to USA Today, they're the 2 nonconsecutive months that see the highest cookbook sales",May & December,"Brian Carlson, Lynn Walters, Kara McDermott","Illinois, Missouri, Massachusetts"
4177,2002-10-29,Final Jeopardy!,NOTABLE NAMES,None,"His last direct descendant was a granddaughter, Elizabeth Hall, born to John & Susanna Hall in 1608",William Shakespeare,"Todd Powers, Rebecca Goldman, Phillip Steele","Pennsylvania, Florida, California"
6159,2011-05-26,Final Jeopardy!,19th CENTURY MUSIC,None,"Lyrics to an 1868 tune by this man began, ""Guten Abend, Gut Nacht, Mit Rosen Bedacht""",Johannes Brahms,"Carl Aveni, Chloe Horning, Tom Brown","Ohio, Washington, Pennsylvania"
5825,2010-01-01,Final Jeopardy!,ROSE BOWL HISTORY,None,"The only time the game wasn't held in Calif. was 1942, when it was in N.C., amidst fears of another event like this one",Pearl Harbor,"Megan Langhoff, Neel Varde, Jessica Stapp","Louisiana, Illinois, Arizona"
5416,2008-03-10,Final Jeopardy!,ACTORS,None,"He never won an Oscar, but this 1960s movie star got a patent for a low-slung bucket seat for race cars",Steve McQueen,"Mandy Loy, Chris Flood, Jeff Harmon","Virginia, California, Tennessee"
3205,1998-07-03,Final Jeopardy!,WORLD LEADERS,None,"On Dec. 25, 1991, he ended his farewell speech by saying, ""I wish everyone all the best""",Mikhail Gorbachev,"David Evans, Dan Girard, John Skelton","California, California, Washington"
3014,1997-10-09,Final Jeopardy!,FAMOUS WOMEN,None,"In 1997, in honor of her 90th birthday, she was made honorary First Lady of Old Saybrook, Connecticut",Katharine Hepburn,"Dylan Armstrong, Amy Vandenberg, Phil Ackerman","Connecticut, Michigan, Wisconsin"
5623,2009-02-04,Final Jeopardy!,20th CENTURY FIRSTS,None,"On Oct. 14, 1947 in the Mojave Desert the first of these sounds was made by man; it was the byproduct of another first",sonic boom,"Gail Flemmons, Louis Irizarry, Chris Norlin","Mississippi, Florida, California"
4122,2002-07-02,Final Jeopardy!,1980s BUSINESS,None,"In his job since 1984, this man has been called ""the Prince who awakened Sleeping Beauty""",Michael Eisner,"Becky De Jesus, Jeff Goldfarb, Judy Anderson","Kansas, New York, Georgia"
6029,2010-11-25,Final Jeopardy!,U.S. PRESIDENTS,None,He is the only president of the United States to be awarded the Purple Heart,John F. Kennedy,"Laura Button, Matthew Warren, Bob Kennedy","Georgia, South Carolina, California"
5281,2007-07-23,Final Jeopardy!,ITALIAN INVENTORS,None,In 1910 his new invention helped Scotland Yard catch a murderer escaping to North America across the Atlantic,Marconi,"Kyle Neblett, Rachel Gottesman, Andy Hutchins","Oregon, New York, Florida"
4935,2006-02-10,Final Jeopardy!,AMERICANA,None,"Originally beardless, Uncle Sam got  his chin whiskers from images depicting this real-life man",Abraham Lincoln,"Andrew Watkins, David Hoffelmeyer, Laura Ansley","Pennsylvania, Missouri, Ohio"
3361,1999-03-29,Final Jeopardy!,1999 ANNIVERSARIES,None,A traveling exhibit honoring the 200th anniversary of his death features his false teeth,George Washington,"Dave Foley, Kathy Kinney, Wallace Langham","an actor from , an actress from , an actor from "
